"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ATRNL1",6.69430865256657e-36,1.15107244412519,0.988,0.763,8.07936111278259e-32,"0","ATRNL1"
"NSG1",1.58376954148523e-25,1.05358391706995,0.607,0.207,1.91145145961852e-21,"0","NSG1"
"SYT4",3.42300801784775e-25,1.00643627013022,0.675,0.28,4.13122837674045e-21,"0","SYT4"
"STMN2",1.02328663403525e-22,0.935574683795241,0.969,0.748,1.23500463861714e-18,"0","STMN2"
"KMT2C",1.39580779904958e-22,0.736645338296535,0.975,0.798,1.68460043267294e-18,"0","KMT2C"
"TMSB10",6.32230784434345e-22,0.815720463881465,0.982,0.813,7.63039333733811e-18,"0","TMSB10"
"LZIC",7.18323872048602e-21,0.905800655370699,0.791,0.513,8.66945081175457e-17,"0","LZIC"
"ELAVL2",4.49411697774019e-19,0.744038051149526,0.472,0.143,5.42394978043464e-15,"0","ELAVL2"
"SOGA3",9.47482860563056e-19,0.815767134822333,0.877,0.672,1.14351706441355e-14,"0","SOGA3"
"RANBP17",1.19507783982456e-18,0.746740149721645,0.546,0.2,1.44233944488426e-14,"0","RANBP17"
"RTN4",1.10594034002553e-17,0.614742601915721,0.988,0.813,1.33475939637681e-13,"0","RTN4"
"FSTL4",2.66668355810206e-17,0.634265420463232,0.436,0.13,3.21842038627338e-13,"0","FSTL4"
"ACAP3",8.19873467964263e-17,0.673227047600259,0.896,0.757,9.89505288486069e-13,"0","ACAP3"
"HSP90AA1",1.58365789884726e-16,0.639218121651771,0.865,0.685,1.91131671811876e-12,"0","HSP90AA1"
"AKAP6",1.92257166429562e-16,0.568579057322779,0.368,0.096,2.32035174163839e-12,"0","AKAP6"
"GADD45G",4.8002964546951e-16,0.753828579287453,0.54,0.23,5.79347779117152e-12,"0","GADD45G"
"SLC18A2",6.31286968185173e-16,0.762070054067212,0.503,0.196,7.61900241902686e-12,"0","SLC18A2"
"WSB1",1.69481947939039e-15,0.563349977556867,1,0.937,2.04547762967626e-11,"0","WSB1"
"DACH1",1.79323238947364e-15,0.761202780885042,0.951,0.796,2.16425217085574e-11,"0","DACH1"
"SPTAN1",2.47540980915507e-15,0.56583716451977,0.926,0.804,2.98757209866926e-11,"0","SPTAN1"
"RGMB",5.6433386532056e-15,0.737769996217092,0.62,0.337,6.81094542055384e-11,"0","RGMB"
"HES4",8.51736896896189e-14,0.759796302547091,0.479,0.213,1.02796126086401e-09,"0","HES4"
"SLCO5A1",1.23574970987888e-13,0.676396109135538,0.571,0.278,1.49142632485282e-09,"0","SLCO5A1"
"ELAVL4",3.34658562796396e-13,0.560187276854931,0.331,0.096,4.0389941943897e-09,"0","ELAVL4"
"MYO16",5.57730367089272e-13,0.655378407616431,0.607,0.337,6.73124780040042e-09,"0","MYO16"
"PFKFB3",6.40443906601254e-13,0.522110045842592,0.951,0.728,7.72951750877053e-09,"0","PFKFB3"
"CNTN2",7.78828306455821e-13,0.685206986126408,0.436,0.176,9.3996788306153e-09,"0","CNTN2"
"EPHA6",1.03501586879e-12,0.392128355522705,0.233,0.046,1.24916065204265e-08,"0","EPHA6"
"CTNNA2",1.42168711716468e-12,0.617475762499381,0.356,0.12,1.71583418170606e-08,"0","CTNNA2"
"UFM1",2.0189919159337e-12,0.607143267638289,0.847,0.717,2.43672134334038e-08,"0","UFM1"
"ONECUT2",2.15667428459934e-12,0.378367195911067,0.252,0.057,2.60289019408294e-08,"0","ONECUT2"
"PCCA",2.3191772074035e-12,0.627018282664639,0.785,0.646,2.79901497161528e-08,"0","PCCA"
"SLC4A7",2.44606766245923e-12,0.560598635439691,0.491,0.22,2.95215906182204e-08,"0","SLC4A7"
"PAX6",2.73516298121907e-12,0.488831868670102,1,0.857,3.30106820203329e-08,"0","PAX6"
"SERINC1",9.54817039934208e-12,0.531393781456544,0.834,0.693,1.1523686854966e-07,"0","SERINC1"
"CALM2",9.98342684288559e-12,0.652179654571112,0.975,0.909,1.20489978566786e-07,"0","CALM2"
"ARF1",1.00855145705695e-11,0.591120928762717,0.411,0.17,1.21722075352203e-07,"0","ARF1"
"CRABP1",3.1874094407081e-11,0.719422581692625,1,0.88,3.8468844539906e-07,"0","CRABP1"
"CLASP2",4.44370564369944e-11,0.545671497194244,0.54,0.289,5.36310834138086e-07,"0","CLASP2"
"SIX3",7.21097352322791e-11,0.482015311344111,0.926,0.809,8.70292394518376e-07,"0","SIX3"
"KIAA0895L",1.06180057573754e-10,0.475545410803602,0.362,0.141,1.28148711485763e-06,"0","KIAA0895L"
"N4BP2",1.06985772249238e-10,0.454941721018671,0.387,0.159,1.29121128527605e-06,"0","N4BP2"
"CD24",1.16770671070476e-10,0.609638658868527,0.656,0.435,1.40930522914957e-06,"0","CD24"
"AGTPBP1",3.47897547917282e-10,0.525520889694722,0.822,0.67,4.19877550581368e-06,"0","AGTPBP1"
"EBF3",3.90517797196179e-10,0.443412472120364,0.344,0.122,4.71315929436068e-06,"0","EBF3"
"PRELID2",4.3907707181645e-10,0.434256167897733,0.969,0.885,5.29922117975274e-06,"0","PRELID2"
"SLC25A16",4.52469187390881e-10,0.535031913641015,0.571,0.341,5.46085062262054e-06,"0","SLC25A16"
"GRIA2",5.8706782777912e-10,0.379093132402409,0.344,0.126,7.0853216134662e-06,"0","GRIA2"
"DYNC1I2",7.97393000977194e-10,0.479121737577567,0.89,0.783,9.62373612879376e-06,"0","DYNC1I2"
"EBF1",8.21791194728066e-10,0.520297411174087,0.387,0.163,9.91819792917303e-06,"0","EBF1"
"FNDC5",1.02981252152887e-09,0.544696373777,0.411,0.191,1.24288073223319e-05,"0","FNDC5"
"ISL1",1.4407245249159e-09,0.506284670831804,0.38,0.167,1.738810429121e-05,"0","ISL1"
"HMGCR",1.85048800920433e-09,0.542711482573792,0.436,0.228,2.2333539783087e-05,"0","HMGCR"
"KLF7",2.04748932844708e-09,0.487572725258637,0.442,0.213,2.47111487050278e-05,"0","KLF7"
"SHOC2",2.35196154279637e-09,0.377118649713808,0.393,0.167,2.83858238600094e-05,"0","SHOC2"
"ZC2HC1A",2.80971965139333e-09,0.469281160291191,0.472,0.246,3.39105064726661e-05,"0","ZC2HC1A"
"KIF1B",4.04963200896427e-09,0.414299736521325,0.896,0.828,4.88750087161898e-05,"0","KIF1B"
"MBOAT2",4.13186208262254e-09,0.381489826117865,0.89,0.776,4.98674434751714e-05,"0","MBOAT2"
"VRK1",6.2056464374387e-09,0.455321094744192,0.46,0.228,7.48959468534477e-05,"0","VRK1"
"ATF2",6.26992893479104e-09,0.472980670757256,0.552,0.33,7.56717723139931e-05,"0","ATF2"
"TBX2",6.7759322180357e-09,0.561856924935182,0.466,0.257,8.17787259394729e-05,"0","TBX2"
"TEX9",9.56895411355945e-09,0.467570183998514,0.454,0.239,0.000115487707196549,"0","TEX9"
"GPC2",9.67150952560968e-09,0.410186412768774,0.902,0.789,0.000116725448464583,"0","GPC2"
"SLC38A2",1.39186848910579e-08,0.401091449964408,0.454,0.23,0.000167984607950178,"0","SLC38A2"
"EPHA5",1.40315294702172e-08,0.39440017908362,0.38,0.172,0.000169346529176052,"0","EPHA5"
"ACVR2A",1.56494931942479e-08,0.342273539878653,0.38,0.17,0.000188873733361377,"0","ACVR2A"
"TUBB2B",1.56780976029695e-08,0.412530643668269,0.988,0.804,0.000189218959970239,"0","TUBB2B"
"ANKRD12",1.8577971892654e-08,0.326836895270985,0.325,0.133,0.000224217542772441,"0","ANKRD12"
"KIAA0232",2.84630936092259e-08,0.387985550795966,0.307,0.126,0.000343521076769747,"0","KIAA0232"
"WDFY2",3.84772550483011e-08,0.373965982350677,0.282,0.109,0.000464381991177945,"0","WDFY2"
"STXBP5",4.04909081456743e-08,0.351711563910015,0.362,0.161,0.000488684770410143,"0","STXBP5"
"TRIM13",4.10946991964947e-08,0.357599149041672,0.276,0.104,0.000495971924602495,"0","TRIM13"
"CEP85L",5.31112869186268e-08,0.478441713506509,0.448,0.239,0.000641000121820907,"0","CEP85L"
"NRXN1",5.70725985243053e-08,0.478011805546973,0.491,0.276,0.000688809191589841,"0","NRXN1"
"LDB3",5.77338371222526e-08,0.36274454874161,0.196,0.057,0.000696789680228467,"0","LDB3"
"HFM1",6.04113616990789e-08,0.295942887325202,0.276,0.1,0.000729104724346183,"0","HFM1"
"MYL6",6.56136345087798e-08,0.407710708896169,0.337,0.152,0.000791890954886463,"0","MYL6"
"TUBB2A",8.04474287288497e-08,0.560892234133013,0.81,0.722,0.000970920017328486,"0","TUBB2A"
"ZEB2",8.4562070268356e-08,0.557988695963744,0.497,0.311,0.00102057962606879,"0","ZEB2"
"MARCH6",8.82062812149372e-08,0.50553210634103,0.479,0.293,0.00106456160798308,"0","MARCH6"
"GDAP1",9.46570192548e-08,0.370754011801192,0.319,0.137,0.00114241556538618,"0","GDAP1"
"CACNA2D1",1.01062704811295e-07,0.431317543811913,0.497,0.287,0.00121972578436752,"0","CACNA2D1"
"CRMP1",1.09186289066183e-07,0.492260504478357,0.724,0.585,0.00131776932273976,"0","CRMP1"
"N4BP2L2",1.14536583634933e-07,0.355433449343195,1,0.983,0.00138234202789,"0","N4BP2L2"
"GAP43",1.17580822155768e-07,0.674714801657323,0.742,0.657,0.00141908294259796,"0","GAP43"
"ECEL1",1.19772312046415e-07,0.382655411026776,0.276,0.109,0.00144553203408818,"0","ECEL1"
"DPP6",1.2582025486562e-07,0.354021724597216,0.313,0.133,0.00151852465597316,"0","DPP6"
"PPP1R1A",1.49597914581048e-07,0.372703904028314,0.282,0.115,0.00180549723107867,"0","PPP1R1A"
"PJA2",1.53978014093598e-07,0.49205489403577,0.712,0.641,0.00185836065209563,"0","PJA2"
"TUBA1A",1.57312122404038e-07,0.493147627497179,0.828,0.728,0.00189860000529434,"0","TUBA1A"
"RNMT",1.77904268668711e-07,0.508597033150267,0.411,0.237,0.00214712661856267,"0","RNMT"
"NAE1",1.80647968320937e-07,0.377709225069534,0.38,0.183,0.00218024032966539,"0","NAE1"
"ALMS1",1.93487848635197e-07,0.287136771450728,0.27,0.104,0.0023352048451782,"0","ALMS1"
"PUM2",2.07380930989827e-07,0.428804512612822,0.46,0.257,0.00250288045611622,"0","PUM2"
"KLHL24",2.24103936467026e-07,0.439588188326064,0.748,0.667,0.00270471040922054,"0","KLHL24"
"PPP1R17",2.28453525423274e-07,0.312608279664542,0.166,0.043,0.0027572055983335,"0","PPP1R17"
"DPYSL2",2.53920648832177e-07,0.398564996060578,0.883,0.813,0.00306456831075554,"0","DPYSL2"
"PFN2",2.54910558934879e-07,0.315322084278645,0.988,0.959,0.00307651553578506,"0","PFN2"
"DCUN1D4",2.68810383177155e-07,0.401925559698204,0.405,0.213,0.00324427251456509,"0","DCUN1D4"
"UCHL1",2.90361853267854e-07,0.34580029924358,0.834,0.709,0.00350437720708973,"0","UCHL1"
"CARD19",3.29243722018736e-07,0.336932773006492,0.288,0.122,0.00397364248104413,"0","CARD19"
"PRPH",3.68283153102092e-07,0.590051087389626,0.583,0.402,0.00444480937478915,"0","PRPH"
"SNX14",3.68409442227456e-07,0.376555634887493,0.528,0.322,0.00444633355824316,"0","SNX14"
"RNF138",3.90721628782792e-07,0.347337347370024,0.325,0.148,0.00471561933777952,"0","RNF138"
"TMTC2",4.47805126671389e-07,0.483086959816221,0.448,0.276,0.005404560073797,"0","TMTC2"
"BTAF1",4.57389353378738e-07,0.426134872958294,0.393,0.211,0.00552023210592799,"0","BTAF1"
"MYEF2",4.66126943085873e-07,0.491151928370714,0.583,0.463,0.0056256860761034,"0","MYEF2"
"HES6",4.81535808521197e-07,0.657482207259457,0.571,0.413,0.00581165567304233,"0","HES6"
"SPPL2B",5.33573324597257e-07,0.456119912215952,0.46,0.28,0.0064396964545643,"0","SPPL2B"
"HSPD1",5.73934403972528e-07,0.26728005059053,0.294,0.122,0.00692681432154444,"0","HSPD1"
"SENP7",6.10049792334327e-07,0.333557062175139,0.368,0.185,0.00736269094368299,"0","SENP7"
"CHD7",6.85834381228482e-07,0.401658993260826,0.877,0.765,0.00827733514704655,"0","CHD7"
"NUDCD1",6.98432247762257e-07,0.315287120519122,0.288,0.126,0.00842937879824267,"0","NUDCD1"
"MITD1",7.27813797311721e-07,0.394823732947079,0.362,0.183,0.00878398471975517,"0","MITD1"
"KLHL14",7.815983042939e-07,0.337745794437924,0.264,0.109,0.00943310993452308,"0","KLHL14"
"POLI",8.25875356266451e-07,0.338499812796565,0.423,0.228,0.0099674896747798,"0","POLI"
"TGFBR1",8.57661548564605e-07,0.421389161307644,0.374,0.198,0.0103511172296262,"0","TGFBR1"
"CD46",8.74026563910511e-07,0.30955890383915,0.325,0.152,0.010548626599836,"0","CD46"
"ONECUT1",8.77392520658402e-07,0.399365133918718,0.834,0.711,0.0105892503318263,"0","ONECUT1"
"LRFN5",8.85660327511568e-07,0.314668221939292,0.215,0.076,0.0106890344927371,"0","LRFN5"
"ID4",8.99734404718514e-07,0.450436273712369,0.718,0.58,0.0108588945305477,"0","ID4"
"GSK3B",9.88950971581196e-07,0.428345433541223,0.73,0.667,0.0119356492760135,"0","GSK3B"
"STMN4",1.15496307243125e-06,0.473625397915363,0.571,0.404,0.0139392493211727,"0","STMN4"
"CD47",1.16786026393506e-06,0.438917822141013,0.479,0.311,0.0140949055254323,"0","CD47"
"OGA",1.2086423698909e-06,0.336241720238391,0.975,0.88,0.0145871047622133,"0","OGA"
"KIAA0100",1.27626620326009e-06,0.418759384712025,0.46,0.296,0.0154032568071461,"0","KIAA0100"
"FBXL17",1.34094117542793e-06,0.469833569306294,0.485,0.317,0.0161838190462397,"0","FBXL17"
"PPFIA2",1.53571897151838e-06,0.347535887938821,0.252,0.104,0.0185345922672553,"0","PPFIA2"
"RNGTT",1.76167396197142e-06,0.330403510291178,0.374,0.193,0.021261643047033,"0","RNGTT"
"CPLANE1",2.01268377505649e-06,0.294858850909805,0.264,0.113,0.0242910804811568,"0","CPLANE1"
"TET1",2.17246895469605e-06,0.385635510678542,0.387,0.22,0.0262195278142266,"0","TET1"
"POU6F2",2.28004873212608e-06,0.348591447911507,0.27,0.117,0.0275179081480297,"0","POU6F2"
"RCAN2",2.30013247359625e-06,0.35570430982997,0.331,0.167,0.0277602988238331,"0","RCAN2"
"CEP112",2.41242514367113e-06,0.267092309677924,0.252,0.102,0.0291155590589669,"0","CEP112"
"KCTD16",2.43071662445071e-06,0.363867626215952,0.399,0.226,0.0293363189404956,"0","KCTD16"
"CASD1",2.4757250637219e-06,0.316961352101318,0.405,0.226,0.0298795257940596,"0","CASD1"
"SPATA5",2.52597164698244e-06,0.278121610237957,0.221,0.085,0.0304859518074311,"0","SPATA5"
"SOX4",2.9772548711329e-06,0.322169054228143,1,0.952,0.035932489039703,"0","SOX4"
"FASTKD1",3.02537562995834e-06,0.42088702973817,0.245,0.109,0.0365132584779672,"0","FASTKD1"
"TTC14",3.49908369150183e-06,0.354222783066064,0.331,0.17,0.0422304410727356,"0","TTC14"
"THRB",3.88407127866284e-06,0.361644965800241,0.35,0.18,0.0468768562621818,"0","THRB"
"INSIG2",3.96815570458597e-06,0.514409762532722,0.405,0.248,0.0478916711986481,"0","INSIG2"
"CNBP",3.99706262852737e-06,0.400322136455348,0.436,0.27,0.0482405488636968,"0","CNBP"
"PDK1",4.02292645019442e-06,0.332802562107374,0.963,0.835,0.0485526993273965,"0","PDK1"
"COP1",4.03491640310026e-06,0.335736954594218,0.399,0.226,0.0486974060690171,"0","COP1"
"INTS8",4.71208938987662e-06,0.269289558012497,0.344,0.176,0.0568702068464209,"0","INTS8"
"SENP6",4.83338179196624e-06,0.29779969379028,0.798,0.717,0.0583340848472406,"0","SENP6"
"TUT7",5.08740754576897e-06,0.383260703490638,0.387,0.222,0.0613999216698857,"0","TUT7"
"RNF38",5.74844668278799e-06,0.389846692796786,0.503,0.341,0.0693780030145682,"0","RNF38"
"KDM3A",6.08128907390081e-06,0.311692689711307,0.883,0.776,0.0733950778329089,"0","KDM3A"
"PPP4R3B",6.10974718761828e-06,0.339578564162567,0.387,0.22,0.073738538807365,"0","PPP4R3B"
"NPDC1",6.16251620681371e-06,0.438704795123525,0.656,0.574,0.0743754081000347,"0","NPDC1"
"PRUNE2",7.19844426009723e-06,0.351084441517662,0.239,0.104,0.0868780237751134,"0","PRUNE2"
"PCDHA12",8.25231835683884e-06,0.299655916987709,0.215,0.087,0.099597230248688,"0","PCDHA12"
"SLIT1",8.34297874361169e-06,0.388475961063371,0.294,0.148,0.100691410456649,"0","SLIT1"
"GREB1L",9.74068345688415e-06,0.323595610957943,0.307,0.157,0.117560308641135,"0","GREB1L"
"INTS2",1.00220090316952e-05,0.270789585101049,0.258,0.115,0.120955627003529,"0","INTS2"
"DUT",1.16924900445036e-05,0.339220619726818,0.337,0.183,0.141116662347114,"0","DUT"
"NDUFA5",1.20613650632241e-05,0.268847190965807,0.448,0.267,0.145568614948051,"0","NDUFA5"
"PSMA4",1.21612903933361e-05,0.331629906459885,0.344,0.189,0.146774613757173,"0","PSMA4"
"ZNF195",1.21628181172549e-05,0.267580309714211,0.178,0.065,0.14679305185715,"0","ZNF195"
"MTF2",1.27522844567213e-05,0.256882048648009,0.337,0.172,0.15390732110817,"0","MTF2"
"EPC2",1.32484973450197e-05,0.358261348016364,0.344,0.187,0.159896114457043,"0","EPC2"
"DYNC1LI1",1.41409931862694e-05,0.29413273019828,0.325,0.167,0.170667646765085,"0","DYNC1LI1"
"PKIA",1.4195632557353e-05,0.327685289909306,0.828,0.743,0.171327089334694,"0","PKIA"
"BARHL2",1.50783773839087e-05,0.394629111676344,0.276,0.139,0.181980936646395,"0","BARHL2"
"EXOC6B",1.52943233899491e-05,0.368928228760018,0.448,0.291,0.184587188993296,"0","EXOC6B"
"RAB31",1.54408625283544e-05,0.258541614581122,0.362,0.191,0.18635576985471,"0","RAB31"
"EIF2A",1.55963714113715e-05,0.333081109405773,0.393,0.23,0.188232606563843,"0","EIF2A"
"DCTN1",1.57274657999287e-05,0.262651680617353,0.908,0.82,0.189814784739339,"0","DCTN1"
"HSF4",1.60521972837054e-05,0.350605061203935,0.337,0.187,0.19373396901704,"0","HSF4"
"FSD1L",1.6600114469508e-05,0.375244077136062,0.472,0.317,0.200346781532492,"0","FSD1L"
"DHX36",1.68435263979248e-05,0.296312028257527,0.374,0.209,0.203284520096554,"0","DHX36"
"HDAC2",2.17455412165479e-05,0.313074994026501,0.46,0.287,0.262446936942517,"0","HDAC2"
"PAQR3",2.2164191621037e-05,0.265551018575021,0.27,0.128,0.267499628674296,"0","PAQR3"
"FBXL5",2.45450403234817e-05,0.356440608315883,0.374,0.217,0.2962340916641,"0","FBXL5"
"DNAJA1",2.63047485619348e-05,0.326836895270985,0.503,0.346,0.317472010393991,"0","DNAJA1"
"REEP1",2.63778191476759e-05,0.288841772696216,0.252,0.117,0.318353899293301,"0","REEP1"
"FOXN4",2.68328754060354e-05,0.376048030927215,0.325,0.172,0.323845973275442,"0","FOXN4"
"MYNN",2.71134866578824e-05,0.286342117042925,0.282,0.139,0.327232670473983,"0","MYNN"
"RTN1",3.02425222651452e-05,0.295909066894071,0.282,0.143,0.364997001218038,"0","RTN1"
"EDIL3",3.09026280592228e-05,0.27436947537685,0.276,0.137,0.37296381804676,"0","EDIL3"
"SRP9",3.19305188501026e-05,0.327867023869475,0.736,0.635,0.385369432001889,"0","SRP9"
"NEFM",3.77425959187017e-05,0.355181520964947,0.282,0.15,0.455515390142811,"0","NEFM"
"CCNC",3.94177037397032e-05,0.343325018059554,0.546,0.396,0.475732266434477,"0","CCNC"
"ESYT2",3.95181875915143e-05,0.419594036190838,0.521,0.387,0.476945006041986,"0","ESYT2"
"PCDHA4",4.0203100790165e-05,0.335699463980781,0.325,0.183,0.485211223436502,"0","PCDHA4"
"ANKIB1",4.11680557636695e-05,0.26312033424389,0.196,0.083,0.496857265011727,"0","ANKIB1"
"TTC37",4.2622760106975e-05,0.271695341078525,0.258,0.128,0.514414091731081,"0","TTC37"
"TMEM87B",4.30719100339428e-05,0.372582485492568,0.319,0.18,0.519834882199656,"0","TMEM87B"
"TRAPPC8",4.79150833485427e-05,0.253384450247514,0.288,0.15,0.578287140933561,"0","TRAPPC8"
"TMF1",4.85106241655201e-05,0.391875324545462,0.417,0.278,0.585474723053663,"0","TMF1"
"CSTF3",5.17499572345841e-05,0.333723280856225,0.38,0.233,0.624570233864195,"0","CSTF3"
"KIAA1586",5.18709724149533e-05,0.294596558270777,0.252,0.124,0.626030766076071,"0","KIAA1586"
"KALRN",6.20531322142794e-05,0.413559757367075,0.558,0.472,0.748919252694138,"0","KALRN"
"POLR2B",6.68126733413722e-05,0.356280673163467,0.442,0.302,0.806362154557021,"0","POLR2B"
"PIAS1",6.90680838816417e-05,0.282946760100069,0.276,0.141,0.833582704367533,"0","PIAS1"
"GRIK2",7.00599633159191e-05,0.281198813766966,0.27,0.141,0.845553697259828,"0","GRIK2"
"ADAMTS18",7.39320958334511e-05,0.279061170701572,0.35,0.198,0.892286464613921,"0","ADAMTS18"
"HMGCS1",8.03879966649478e-05,0.266564072888049,0.264,0.135,0.970202731749255,"0","HMGCS1"
"EXOC6",8.29245665327035e-05,0.373573352745079,0.675,0.598,1,"0","EXOC6"
"RUNDC3A",8.72848744246261e-05,0.287462656936841,0.319,0.18,1,"0","RUNDC3A"
"GPRIN1",8.98448886217609e-05,0.313967095019943,0.288,0.157,1,"0","GPRIN1"
"TRIM3",9.37216508358691e-05,0.26902615430254,0.252,0.126,1,"0","TRIM3"
"SCG3",9.51778618667471e-05,0.299378899764238,0.344,0.2,1,"0","SCG3"
"RAX",9.52623049997575e-05,0.380579790902494,0.957,0.837,1,"0","RAX"
"ASIC1",9.69317371265183e-05,0.390633545851954,0.294,0.172,1,"0","ASIC1"
"MCRIP1",9.72527036286947e-05,0.279531180492629,0.27,0.141,1,"0","MCRIP1"
"MAPK8",9.92346474995865e-05,0.285759232225648,0.509,0.354,1,"0","MAPK8"
"PDE7A",0.000105496443529706,0.281829135434539,0.411,0.254,1,"0","PDE7A"
"AK9",0.00010851784693792,0.260285702362379,0.276,0.148,1,"0","AK9"
"MON2",0.000110224986733959,0.26334029168131,0.301,0.165,1,"0","MON2"
"MZT1",0.000124197010213787,0.385730584324554,0.472,0.337,1,"0","MZT1"
"ZMYM2",0.000128618402879231,0.415192769691832,0.583,0.498,1,"0","ZMYM2"
"KIF5C",0.000130805967020716,0.293114152765554,0.804,0.741,1,"0","KIF5C"
"PCDHA5",0.000132897562268216,0.326836895270985,0.276,0.154,1,"0","PCDHA5"
"WDR19",0.000134089661320792,0.317438197268736,0.239,0.12,1,"0","WDR19"
"CNTN3",0.000139085411275882,0.267092309677924,0.233,0.117,1,"0","CNTN3"
"DDHD2",0.000142406089476891,0.375083340125045,0.264,0.148,1,"0","DDHD2"
"PRRT2",0.000147291020730495,0.302548008688444,0.871,0.8,1,"0","PRRT2"
"UBXN7",0.000156950361924262,0.299545203603245,0.337,0.207,1,"0","UBXN7"
"CKB",0.000159708472008187,0.256213344627082,1,0.874,1,"0","CKB"
"PCDH9",0.000165793264276336,0.356418820440825,0.436,0.302,1,"0","PCDH9"
"METRN",0.000170266531763766,0.299596621733519,0.27,0.148,1,"0","METRN"
"QSER1",0.000175311346011919,0.307566868340668,0.479,0.335,1,"0","QSER1"
"CREBZF",0.000184655658735479,0.34041986754391,0.669,0.628,1,"0","CREBZF"
"GPBP1",0.000188062789348633,0.34140759376861,0.601,0.548,1,"0","GPBP1"
"STXBP1",0.000191042999511963,0.336026066725646,0.362,0.23,1,"0","STXBP1"
"PPP1R21",0.000201924676640993,0.27436947537685,0.331,0.2,1,"0","PPP1R21"
"YBX1",0.000207039561485353,0.290981416581768,0.411,0.276,1,"0","YBX1"
"TIMM10B",0.000223925799707096,0.324294700708532,0.301,0.176,1,"0","TIMM10B"
"FXYD6",0.000224071982507678,0.292037247439725,0.779,0.754,1,"0","FXYD6"
"RHBDD1",0.000227074074037507,0.294170706350663,0.325,0.198,1,"0","RHBDD1"
"GXYLT1",0.000228435532654597,0.283540061268435,0.301,0.176,1,"0","GXYLT1"
"UBP1",0.000238252343073376,0.314891290365077,0.411,0.276,1,"0","UBP1"
"CAND1",0.000238919627064162,0.401208133686433,0.515,0.407,1,"0","CAND1"
"TBC1D19",0.000240435867721235,0.279531180492629,0.276,0.157,1,"0","TBC1D19"
"SMCHD1",0.000245671719379929,0.283768173379099,0.417,0.285,1,"0","SMCHD1"
"CNEP1R1",0.000249084212636699,0.310895351401964,0.38,0.239,1,"0","CNEP1R1"
"COPB1",0.000251742228275355,0.302383851546446,0.337,0.211,1,"0","COPB1"
"CBLB",0.000252253392966916,0.294618159220655,0.294,0.174,1,"0","CBLB"
"FKBP3",0.000256097942092169,0.273628301437667,0.38,0.241,1,"0","FKBP3"
"FBXO11",0.000266284191040723,0.276767971425366,0.331,0.198,1,"0","FBXO11"
"DIS3",0.000268650621527532,0.300262622076715,0.331,0.204,1,"0","DIS3"
"JUN",0.00027595927254775,0.367168989306203,0.607,0.557,1,"0","JUN"
"CELF3",0.000283636967715351,0.339464503598735,0.62,0.552,1,"0","CELF3"
"CACNA1H",0.000284860928032503,0.337421645912151,0.423,0.307,1,"0","CACNA1H"
"ZSCAN9",0.000291196583485326,0.275281707491271,0.227,0.117,1,"0","ZSCAN9"
"TRIM36",0.000293520770532508,0.300794761432994,0.276,0.163,1,"0","TRIM36"
"USP33",0.000309533768333847,0.333184861353469,0.472,0.35,1,"0","USP33"
"CASP3",0.000310799559291523,0.403652492321816,0.387,0.263,1,"0","CASP3"
"VDAC3",0.000311988852973128,0.289476367767058,0.399,0.265,1,"0","VDAC3"
"PGP",0.000328814961256475,0.318424655454785,0.356,0.228,1,"0","PGP"
"MEX3A",0.000346076794815743,0.365723036689494,0.448,0.337,1,"0","MEX3A"
"MAP1B",0.000368171943459485,0.325982976902824,0.994,0.887,1,"0","MAP1B"
"GREB1",0.000370215066487761,0.256833739651494,0.344,0.213,1,"0","GREB1"
"AGPAT4",0.000392969864791122,0.297089551876933,0.331,0.209,1,"0","AGPAT4"
"CNIH2",0.000404407947699174,0.265717605123941,0.411,0.274,1,"0","CNIH2"
"STX2",0.000414645994605135,0.279476365809939,0.423,0.289,1,"0","STX2"
"HIPK3",0.000416813419967926,0.366903833574221,0.644,0.626,1,"0","HIPK3"
"VHL",0.000420403068421647,0.270924231850856,0.276,0.161,1,"0","VHL"
"FRY",0.000437159900410601,0.252982047959449,0.19,0.091,1,"0","FRY"
"MAP2K4",0.000451714491595527,0.297197404831111,0.35,0.226,1,"0","MAP2K4"
"STK39",0.000452927558009896,0.327953100387315,0.681,0.667,1,"0","STK39"
"MAP2",0.000455797983314861,0.27436947537685,0.387,0.259,1,"0","MAP2"
"AMH",0.000467546746286635,0.292291383374112,0.27,0.152,1,"0","AMH"
"ACVR2B",0.000480021852295296,0.320748397667546,0.405,0.285,1,"0","ACVR2B"
"TNPO3",0.00049324267527534,0.27436947537685,0.319,0.191,1,"0","TNPO3"
"PAXX",0.000519131569005866,0.333161741178881,0.288,0.18,1,"0","PAXX"
"ADD2",0.000543699232129185,0.433196767935831,0.429,0.339,1,"0","ADD2"
"MLLT11",0.000546166372577226,0.270640615609369,0.92,0.865,1,"0","MLLT11"
"FAM241B",0.000565259806938318,0.374310913250756,0.258,0.15,1,"0","FAM241B"
"KPNA5",0.000565486390914656,0.277670838467101,0.294,0.178,1,"0","KPNA5"
"LNPK",0.000620581897894863,0.289393566088791,0.344,0.228,1,"0","LNPK"
"CDC16",0.000631312522066211,0.266027982782814,0.35,0.224,1,"0","CDC16"
"INA",0.000648986566466592,0.347185540662788,0.485,0.383,1,"0","INA"
"RSPRY1",0.000674353759048294,0.269755800063718,0.202,0.104,1,"0","RSPRY1"
