"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CDH21",3.33854906290219e-18,0.817068840935311,1,0.865,4.02929486401666e-14,"4","CDH2"
"PDE6B",3.59857490668704e-18,0.892701876918963,0.776,0.257,4.34312005488059e-14,"4","PDE6B"
"CREB5",3.91492298618373e-18,0.51497451761432,0.507,0.104,4.72492055202514e-14,"4","CREB5"
"NIN",4.56077437701302e-18,0.583855399592904,0.597,0.144,5.50439859561702e-14,"4","NIN"
"SEZ6",8.80675609486621e-18,0.398255193707526,0.284,0.029,1.0628873930894e-13,"4","SEZ6"
"KCNH6",1.53039517644389e-17,0.513985796134033,0.448,0.085,1.84703393845013e-13,"4","KCNH6"
"PLCH21",1.57929328675738e-17,0.826647846979268,0.701,0.223,1.90604906778748e-13,"4","PLCH2"
"MREG",2.00007713702735e-17,0.527595627668847,0.507,0.108,2.4138930966783e-13,"4","MREG"
"ADCY11",2.08840919328581e-17,1.07896472258487,0.761,0.295,2.52050105537664e-13,"4","ADCY1"
"NEUROD41",3.53556629025148e-17,0.787940189191271,0.687,0.21,4.26707495570451e-13,"4","NEUROD4"
"SLC22A23",3.83258327832924e-17,0.852203580766125,0.821,0.345,4.62554475861556e-13,"4","SLC22A23"
"AKAP91",3.91237414696287e-17,0.890679156547609,0.955,0.79,4.72184435796948e-13,"4","AKAP9"
"ABCA4",6.10919657538918e-17,0.861837275441568,0.672,0.214,7.3731893468372e-13,"4","ABCA4"
"DPF31",9.90970464437491e-17,0.646859522589898,0.657,0.187,1.19600225352961e-12,"4","DPF3"
"NOTCH11",1.01713682976241e-16,0.888970590638,0.985,0.928,1.22758243984025e-12,"4","NOTCH1"
"CP",1.17092591843512e-16,0.68099856204669,0.612,0.167,1.41319049095934e-12,"4","CP"
"CPLX3",1.36746438568673e-16,0.54258674882218,0.463,0.099,1.65039276708531e-12,"4","CPLX3"
"NEUROD11",2.44409468923403e-16,1.01343720115239,0.925,0.683,2.94977788043655e-12,"4","NEUROD1"
"PHF241",2.9438589591688e-16,0.538278709435977,0.567,0.144,3.55294337782083e-12,"4","PHF24"
